 34.92   1.20              |         -0.03 
 21.30  18.95              |         -0.89 
 19.94  12.98              |         -0.65 
 22.50  36.72   3.57       |         -1.53  -0.10  
 15.70  17.04   2.73       |         -0.89  -0.20  
  5.27  12.66   5.43       |         -1.84  -0.56  
  0.24   0.96              |         -4.00 
 11.32  25.47              |         -2.25 
 14.40  11.43  23.05       |        (-0.40, -1.20) (-0.40, 1.20)  [im] 
  1.36  22.87              |        -16.82 
  1.76  25.02              |        -14.22 
 13.47   8.33              |         -0.62 
 26.29   0.29   3.70       |        (-0.01, -0.38) (-0.01, 0.38)  [im] 
  3.22   1.82              |         -0.57 
  0.57  17.61  33.43       |        -28.86  -2.03  
  2.90  18.19              |         -6.27 
 22.74   9.30   0.00       |         -0.41   0.00  
 40.08  35.76              |         -0.89 
 17.84  18.60   5.61       |        (-0.52, -0.21) (-0.52, 0.21)  [im] 
 12.51  31.28              |         -2.50 
  3.47  27.46   2.24       |         -7.83  -0.08  
 12.79   4.94              |         -0.39 
 26.60   1.38              |         -0.05 
  0.82   7.52              |         -9.17 
 26.86   2.66              |         -0.10 
